Category,Role,Keywords,Skills,KPI,Tools
Sales,SDR v1,"inbound, qualification, SQL, discovery, nurturing, demos + prioritization, reporting, metrics","qualification, communication, CRM + problem solving, critical thinking","SQLs, demo rate, conversion rate + growth rate, ROI","HubSpot, Salesforce + Notion, Asana"
Sales,AE v1,"closing, ARR, revenue, sales cycle, negotiation, quota, forecasting + strategy, execution, roadmapping","negotiation, storytelling, strategy + adaptability, time management","ARR, win rate, quota attainment + growth rate, ROI","Salesforce, Gong, Zoom + Notion, Asana"
Sales,AM v1,"retention, renewals, expansion, churn, NRR, upsell + metrics, benchmarking, strategy","relationship mgmt, account strategy + time management, technical communication","NRR, churn, expansion revenue + ROI, accuracy","Gainsight, Salesforce + Power BI, Jira"
Sales,Sales Manager v1,"coaching, forecasting, pipeline, performance + strategy, automation, benchmarking","leadership, analytics + time management, problem solving","team quota, forecast accuracy + velocity, quality score","Salesforce + Asana, Google Workspace"
Sales,RevOps v1,"revenue ops, forecasting, processes, automation + experimenting, reporting, alignment","data analysis, systems thinking + collaboration, adaptability","revenue growth, efficiency + velocity, quality score","Salesforce, HubSpot, Tableau + Slack, Looker"
Marketing,Marketing Manager v1,"brand, campaigns, positioning, GTM + alignment, experimenting, cross-functional","strategy, leadership + problem solving, collaboration","CAC, MQLs + throughput, quality score","HubSpot, GA4 + Airtable, Miro"
Marketing,Growth Marketer v1,"experimentation, funnels, CRO, growth loops + alignment, forecasting, execution","analytics, creativity + time management, data literacy","conversion rate, LTV/CAC + ROI, growth rate","GA4, Mixpanel + Miro, Jira"
Marketing,Performance Marketer v1,"paid ads, PPC, ROAS, funnels + automation, cross-functional, benchmarking","data-driven thinking + problem solving, stakeholder management","ROAS, CPA + cycle time, ROI","Google Ads, Meta Ads + Notion, Looker"
Marketing,Content Marketer v1,"content, SEO, storytelling, copywriting + reporting, optimization, alignment","writing, SEO + data literacy, collaboration","organic traffic, engagement + throughput, ROI","Ahrefs, SEMrush + Looker, Google Workspace"
Marketing,SEO Specialist v1,"keywords, ranking, backlinks, SERP + roadmapping, benchmarking, experimenting","technical SEO + adaptability, technical communication","organic traffic + accuracy, efficiency","Ahrefs, Screaming Frog + Google Workspace, Miro"
